location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
United States of America,Female,Incidence,2000,2005,32698.345746148683,34900.79848133057,official_GBD_2023,fine_5_year,20,1637.7730894714743,288.26277794540266,276.41686776500626,2202.4527351818833,2202.4527351818833,0.0,74.36132741056181,13.08826170662851,12.550410882809667,4705.7331481731435,-1589.318525920127,-91.61667844011208,3024.797943812904,5
United States of America,Female,Incidence,2005,2010,34900.79848133057,36249.96212323641,official_GBD_2023,fine_5_year,20,1591.6325693292106,29.480390570815267,-271.9493179941771,1349.1636419058486,1349.1636419058489,2.2737367544323206e-13,117.97179525834589,2.185086349434293,-20.156881607780168,6297.365717502354,-1559.8381353493119,-363.56599643428916,4373.961585718753,5
United States of America,Female,Incidence,2010,2015,36249.96212323641,35703.087094552124,official_GBD_2023,fine_5_year,20,1353.07142573653,-379.5085624586342,-1520.4378919621945,-546.8750286842987,-546.8750286842986,1.1368683772161603e-13,-247.41876201438959,69.39584778110572,278.02291423328387,7650.437143238883,-1939.346697807946,-1884.0038883964837,3827.086557034454,5
United States of America,Female,Incidence,2015,2020,35703.087094552124,35698.504630940304,official_GBD_2023,fine_5_year,20,946.226066786244,-713.9844622737752,-236.82406812428113,-4.582463611812273,-4.582463611812301,-2.842170943040401e-14,-20648.850638925873,15580.799385582215,5168.051253343656,8596.663210025128,-2653.3311600817215,-2120.827956520765,3822.5040934226417,5
United States of America,Female,Incidence,2020,2023,35698.504630940304,36070.98539056532,official_GBD_2023,fine_5_year,20,389.34908368118465,-207.29063846540765,190.42231440924053,372.4807596250175,372.4807596250175,0.0,104.52864305612691,-55.65136805296749,51.12272499684059,8986.012293706313,-2860.621798547129,-1930.4056421115242,4194.984853047659,5
United States of America,Female,Prevalence,1990,1995,625835.9820013104,654625.890109144,official_GBD_2023,fine_5_year,20,31883.686512815064,-556.6283618449233,-2537.1500431362074,28789.908107833937,28789.908107833933,-3.637978807091713e-12,110.74605168378181,-1.933414861068837,-8.812636822712994,31883.686512815064,-556.6283618449233,-2537.1500431362074,28789.908107833937,5
United States of America,Female,Prevalence,1995,2000,654625.890109144,680569.6428562739,official_GBD_2023,fine_5_year,20,30408.599566962417,-214.5495447120435,-4250.29727512049,25943.75274712988,25943.752747129885,3.637978807091713e-12,117.20971851432124,-0.8269796077816028,-16.382738906539625,62292.28607977748,-771.1779065569668,-6787.447318256697,54733.66085496382,5
United States of America,Female,Prevalence,2000,2005,680569.6428562739,720510.752050397,official_GBD_2023,fine_5_year,20,33950.51009671846,1090.8807560778998,4899.718341326593,39941.10919412295,39941.10919412295,0.0,85.00142029534332,2.7312229882649706,12.26735671639172,96242.79617649595,319.702849520933,-1887.7289769301042,94674.77004908677,5
United States of America,Female,Prevalence,2005,2010,720510.752050397,749564.1664284262,official_GBD_2023,fine_5_year,20,32882.21222403436,2614.8226195789757,-6443.620465584274,29053.41437802906,29053.41437802906,0.0,113.17847808242715,9.000052749587917,-22.178530832015067,129125.0084005303,2934.5254690999086,-8331.349442514378,123728.18442711583,5
United States of America,Female,Prevalence,2010,2015,749564.1664284262,742698.3748927852,official_GBD_2023,fine_5_year,20,28062.84901447699,3304.48978397093,-38233.13033408887,-6865.79153564095,-6865.79153564095,0.0,-408.7343588688963,-48.129771590311506,556.8641304592078,157187.8574150073,6239.015253070838,-46564.47977660325,116862.39289147488,5
United States of America,Female,Prevalence,2015,2020,742698.3748927852,758461.0258689336,official_GBD_2023,fine_5_year,20,19891.753957103454,1069.8312673701828,-5198.934248325202,15762.650976148434,15762.650976148434,0.0,126.19548569084638,6.787127806033509,-32.982613496879885,177079.61137211075,7308.846520441021,-51763.414024928454,132625.04386762332,5
United States of America,Female,Prevalence,2020,2023,758461.0258689336,767642.2629328287,official_GBD_2023,fine_5_year,20,8279.065061957866,-16.959402111766394,919.1314040489959,9181.237063895096,9181.237063895096,0.0,90.17374243079955,-0.1847180504515962,10.01097561965205,185358.67643406862,7291.887118329255,-50844.28262087946,141806.2809315184,5
United States of America,Male,DALYs,1990,1995,386160.0774142718,409512.1493837446,official_GBD_2023,fine_5_year,20,22254.912491439958,1015.1501897088018,82.00928832398495,23352.071969472745,23352.071969472745,0.0,95.3016611139814,4.347152539765499,0.3511863462530969,22254.912491439958,1015.1501897088018,82.00928832398495,23352.071969472745,5
United States of America,Male,DALYs,1995,2000,409512.1493837446,430838.1484896812,official_GBD_2023,fine_5_year,20,21131.043149017747,-14.97037111002525,209.9263280288918,21325.999105936615,21325.999105936615,0.0,99.08582966757888,-0.07019774799604994,0.9843680804171734,43385.9556404577,1000.1798185987766,291.93561635287676,44678.07107540936,5
United States of America,Male,DALYs,2000,2005,430838.1484896812,454782.22169189545,official_GBD_2023,fine_5_year,20,23637.95055735287,-925.1150927267637,1231.2377375881576,23944.073202214262,23944.073202214262,0.0,98.7215097353065,-3.86364961764823,5.142139882341728,67023.90619781057,75.0647258720129,1523.1733539410343,68622.14427762362,5
United States of America,Male,DALYs,2005,2010,454782.22169189545,474160.92636413476,official_GBD_2023,fine_5_year,20,21190.11918671634,-977.3303779054743,-834.0841365714926,19378.70467223937,19378.70467223937,0.0,109.34744888842792,-5.043321493544055,-4.3041273948838565,88214.02538452692,-902.2656520334614,689.0892173695419,88000.848949863,5
