location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
United States of America,Female,Prevalence,2005,720510.752050397,720510.7520504018,601121.6873362936,855914.5282047541,-4.773028194904327e-09,-6.624506548058343e-13,True,0.0001
United States of America,Female,Prevalence,2006,727695.307265097,727695.3072651052,607416.1485308799,863465.7247611373,-8.149072527885437e-09,-1.11984678841919e-12,True,0.0001
United States of America,Female,Prevalence,2007,733851.7917411213,733851.7917411285,612795.2383012329,871109.935724007,-7.2177499532699585e-09,-9.83543275972006e-13,True,0.0001
United States of America,Female,Prevalence,2008,739440.1162582786,739440.1162582851,617680.0968216074,875136.4745628419,-6.51925802230835e-09,-8.816478682948795e-13,True,0.0001
United States of America,Female,Prevalence,2009,744609.6205394687,744609.6205394759,622225.6187854486,878813.401134947,-7.2177499532699585e-09,-9.693334270970925e-13,True,0.0001
United States of America,Female,Prevalence,2010,749564.1664284262,749564.1664284342,626361.0192505869,882454.2222474148,-8.032657206058502e-09,-1.071643705212452e-12,True,0.0001
United States of America,Female,Prevalence,2011,751630.3921715221,751630.392171526,630170.0985778826,883500.514096145,-3.841705620288849e-09,-5.111163226369579e-13,True,0.0001
United States of America,Female,Prevalence,2012,749108.4864905686,749108.4864905773,629912.3631112871,879068.2135952809,-8.731149137020111e-09,-1.1655386762368411e-12,True,0.0001
United States of America,Female,Prevalence,2013,744712.8901352665,744712.8901352716,628054.960880655,872458.0950217718,-5.122274160385132e-09,-6.878186517564788e-13,True,0.0001
United States of America,Female,Prevalence,2014,741740.9014188912,741740.9014188988,626698.3941717704,867585.195088239,-7.683411240577698e-09,-1.0358618792464951e-12,True,0.0001
United States of America,Female,Prevalence,2015,742698.3748927853,742698.3748927914,627092.2723091221,867352.0978659994,-6.05359673500061e-09,-8.150814569742996e-13,True,0.0001
United States of America,Female,Prevalence,2016,746648.8520337628,746648.85203377,630325.8260561655,871357.6078986711,-7.101334631443024e-09,-9.510942944732259e-13,True,0.0001
United States of America,Female,Prevalence,2017,750126.4530200467,750126.4530200559,633186.7614233656,875417.7785273902,-9.19681042432785e-09,-1.2260346755271619e-12,True,0.0001
