window,location_name,sex_name,age_lower,period_start,events,population
1990_2019,China,Female,50,1995,30206.28294011791,130329648.77108052
1990_2019,China,Female,50,2000,40382.882936323964,174223134.69098723
1990_2019,China,Female,50,2005,48866.18745021443,209638862.88918304
1990_2019,China,Female,50,2010,47788.02796805366,206413305.00947642
1990_2019,China,Female,50,2015,66673.34046661726,288313932.6058284
1990_2019,China,Female,55,1990,25586.31347283423,106609073.70772836
1990_2019,China,Female,55,1995,25939.65704480022,107855282.77103196
1990_2019,China,Female,55,2000,29584.284318751765,124474456.51148033
1990_2019,China,Female,55,2005,40877.701532227424,169301519.91085172
1990_2019,China,Female,55,2010,49029.57353407617,204920200.95766452
1990_2019,China,Female,55,2015,48095.66973195116,202042804.24373806
1990_2019,China,Female,60,1990,19261.423592300118,90151613.01469097
1990_2019,China,Female,60,1995,21358.520906187397,99788653.27417868
1990_2019,China,Female,60,2000,21727.603405601636,102348814.25097004
1990_2019,China,Female,60,2005,25737.44366444787,120853533.85350916
1990_2019,China,Female,60,2010,35154.928248258,165531494.32460463
1990_2019,China,Female,60,2015,42306.32120875902,199923287.59692743
1990_2019,China,Female,65,1990,11105.947872052708,72859011.7073278
1990_2019,China,Female,65,1995,12426.892935250555,81232000.46936235
1990_2019,China,Female,65,2000,13708.626660157443,90368698.81440978
1990_2019,China,Female,65,2005,14555.699039099538,95202269.27211119
1990_2019,China,Female,65,2010,17241.234445825583,114647447.49927679
1990_2019,China,Female,65,2015,23891.708755646912,157856706.2720256
1990_2019,China,Male,10,1990,18826.3192399989,262794123.8511624
1990_2019,China,Male,10,1995,21867.16929307418,302521098.4270278
1990_2019,China,Male,10,2000,21829.799561804648,304328589.58376
1990_2019,China,Male,10,2005,16075.511509629003,231054150.96896982
1990_2019,China,Male,10,2010,13640.64778133883,196186723.8711834
1990_2019,China,Male,10,2015,14632.212325913362,209343387.7520192
1990_2019,China,Male,15,1990,96126.43899143717,294872761.6740186
1990_2019,China,Male,15,1995,82480.64896605597,252997471.61433008
1990_2019,China,Male,15,2000,96093.03171062026,297277798.50025815
1990_2019,China,Male,15,2005,98861.37249969324,308314506.6511137
1990_2019,China,Male,15,2010,74720.70462674947,234333386.36097303
1990_2019,China,Male,15,2015,63554.1043828631,197039540.02404895
1990_2019,China,Male,20,1990,177683.49463121482,332387278.13606846
1990_2019,China,Male,20,1995,148010.02831777657,276579078.4240932
1990_2019,China,Male,20,2000,127178.3173109386,238746001.20962787
1990_2019,China,Male,20,2005,154329.06716664386,287493839.2000328
1990_2019,China,Male,20,2010,159702.32718288337,299687454.6813394
1990_2019,China,Male,20,2015,120549.06479589318,226718083.41905576
1990_2019,China,Male,25,1990,137445.177083899,317927863.2578703
1990_2019,China,Male,25,1995,143002.3121327234,328913544.4608389
1990_2019,China,Male,25,2000,120461.82207744832,275142485.69077766
1990_2019,China,Male,25,2005,105624.69601544007,240321515.9644538
1990_2019,China,Male,25,2010,125539.23948843151,286223651.0207422
1990_2019,China,Male,25,2015,127340.92589783405,292744711.6888292
1990_2019,China,Male,30,1990,78619.03973154514,238852164.95901418
1990_2019,China,Male,30,1995,104595.03885189307,315985222.0499476
1990_2019,China,Male,30,2000,108036.63728135174,322202260.48993665
1990_2019,China,Male,30,2005,93378.6848771206,278476668.6148849
1990_2019,China,Male,30,2010,82658.76399340594,245318144.76102477
1990_2019,China,Male,30,2015,98346.36499590427,290471078.0017486
1990_2019,China,Male,35,1990,65458.637729938266,242924879.01208702
1990_2019,China,Male,35,1995,63136.117948555475,232661129.6788801
1990_2019,China,Male,35,2000,84803.56923988074,310229598.2687983
1990_2019,China,Male,35,2005,87663.62882618386,320547285.7914256
1990_2019,China,Male,35,2010,76844.06918555297,277669784.59408736
1990_2019,China,Male,35,2015,67427.65332092652,242325043.53283077
1990_2019,China,Male,40,1990,49280.67059663752,196978962.8304449
1990_2019,China,Male,40,1995,58652.504505642035,233230415.3956924
1990_2019,China,Male,40,2000,56185.100475864165,223274974.92135864
1990_2019,China,Male,40,2005,76546.87610912556,302821500.9028504
1990_2019,China,Male,40,2010,80302.12602143707,314166640.28164876
1990_2019,China,Male,40,2015,69437.44361965096,271096876.6691123
1990_2019,China,Male,45,1990,40058.748168218626,148509915.84282482
1990_2019,China,Male,45,1995,51757.53378793939,190926480.7331947
1990_2019,China,Male,45,2000,60953.629398236415,224938451.83283335
1990_2019,China,Male,45,2005,59404.65308318347,218648940.72504675
1990_2019,China,Male,45,2010,81450.81873729409,298493889.5604462
1990_2019,China,Male,45,2015,84132.8182600337,309358815.50294274
1990_2019,China,Male,50,1990,36964.95263523814,127113588.21193841
1990_2019,China,Male,50,1995,40954.554759867075,141550859.51748294
1990_2019,China,Male,50,2000,53358.127127582615,183818885.45262656
1990_2019,China,Male,50,2005,63919.48079371662,219367561.49966562
1990_2019,China,Male,50,2010,61996.71277015743,214284321.05984783
1990_2019,China,Male,50,2015,84068.12931019004,291876395.6688329
1990_2019,China,Male,55,1990,36588.69692360004,117503523.47176792
1990_2019,China,Male,55,1995,36774.43860476528,118724988.56564125
1990_2019,China,Male,55,2000,40910.8742732899,132942119.2192585
1990_2019,China,Male,55,2005,54571.00622615044,175609947.6629735
1990_2019,China,Male,55,2010,64715.87338139402,210933075.8274536
1990_2019,China,Male,55,2015,62521.50679974652,206350514.79826164
