location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
China,Male,Prevalence,2001,323.48429228327,272.4594149795,382.89217772326,323.7859290536407,"2003,2017"
China,Male,Prevalence,2002,323.64071030385,271.68137309098,382.99875433598,323.8391381554245,"2003,2017"
China,Male,Prevalence,2003,323.83888796052,270.94265063214004,383.38199893438,323.89235600128353,"2003,2017"
China,Male,Prevalence,2004,324.02720738748,270.53472716968,383.69928886857,324.04498042478525,"2003,2017"
China,Male,Prevalence,2005,324.15264187869,270.44911633512,383.82407311562,324.1976767679054,"2003,2017"
China,Male,Prevalence,2006,324.27617770628,270.7281424469,383.50419537807,324.3504450645339,"2003,2017"
China,Male,Prevalence,2007,324.47410751534,271.41771385267,383.0402668691,324.50328534857664,"2003,2017"
China,Male,Prevalence,2008,324.71441532844,272.48058881528,382.67728240355,324.6561976539555,"2003,2017"
China,Male,Prevalence,2009,324.93748402771,272.89983948547,382.38339223735,324.8091820146083,"2003,2017"
China,Male,Prevalence,2010,325.08351587878,272.91764217064,382.25053882892,324.962238464489,"2003,2017"
China,Male,Prevalence,2011,325.18911961657,272.73436934598,382.58285700749,325.1153670375674,"2003,2017"
China,Male,Prevalence,2012,325.32413439658,272.51530532139,382.98741850271,325.2685677678294,"2003,2017"
China,Male,Prevalence,2013,325.4762915899,272.28413642593,383.4284537784,325.4218406892768,"2003,2017"
China,Male,Prevalence,2014,325.61690695473,272.21531274068,383.9603378186,325.5751858359276,"2003,2017"
China,Male,Prevalence,2015,325.71382373033,272.06247184907,384.52382501284,325.72860324181556,"2003,2017"
China,Male,Prevalence,2016,325.75150533511,271.96781158251,384.93073348546,325.88209294099084,"2003,2017"
China,Male,Prevalence,2017,325.74645337097,272.00791710116,385.69427437045,326.0356549675194,"2003,2017"
China,Male,Prevalence,2018,325.71835324919,271.89080811464,385.74193415219,325.8327779252922,"2003,2017"
China,Male,Prevalence,2019,325.68498439291,271.92074065248,385.59321300927,325.6300271241482,"2003,2017"
China,Male,Prevalence,2020,325.66380422307,271.93081940095,385.40327344503,325.4274024855335,"2003,2017"
China,Male,Prevalence,2021,325.46489588991,271.99331009647,385.09940570068,325.22490393094284,"2003,2017"
China,Male,Prevalence,2022,325.19566849371,272.20156083761,383.58928509622,325.02253138191986,"2003,2017"
China,Male,Prevalence,2023,324.39947351022,272.29677744072,383.47358593897,324.82028476005723,"2003,2017"
United States of America,Female,DALYs,1990,269.4807146176897,190.0374175951557,335.4177287828488,268.472906022791,"2010,2015"
United States of America,Female,DALYs,1991,268.90803854059664,189.9535643203384,333.09089904430624,268.5044831066892,"2010,2015"
United States of America,Female,DALYs,1992,268.999897370078,190.9305830482139,332.6364939640097,268.53606390460163,"2010,2015"
United States of America,Female,DALYs,1993,268.83597550712113,190.8152215948477,333.50039676795853,268.56764841696537,"2010,2015"
United States of America,Female,DALYs,1994,268.6273448028327,189.2929040705473,334.46905659025435,268.5992366442171,"2010,2015"
United States of America,Female,DALYs,1995,268.2076083139268,190.04869347044047,331.1372464511784,268.6308285867939,"2010,2015"
United States of America,Female,DALYs,1996,268.1128317718701,189.17175241414844,332.1775587399952,268.6624242451326,"2010,2015"
United States of America,Female,DALYs,1997,268.09153583287986,190.1881394931616,330.7044490386924,268.6940236196705,"2010,2015"
United States of America,Female,DALYs,1998,267.930728238397,189.3278778048224,330.646632413053,268.7256267108444,"2010,2015"
United States of America,Female,DALYs,1999,267.8256605443129,188.5105524863976,330.9860354246531,268.7572335190916,"2010,2015"
United States of America,Female,DALYs,2000,267.6177112544077,188.1451471519948,328.29472572912783,268.7888440448492,"2010,2015"
United States of America,Female,DALYs,2001,267.851362026526,189.54833462433595,328.9985626769906,268.82045828855456,"2010,2015"
United States of America,Female,DALYs,2002,268.7681169434914,190.40755818216863,333.3985216255813,268.8520762506449,"2010,2015"
United States of America,Female,DALYs,2003,269.17243432737547,190.2969432168348,332.6971325969932,268.8836979315576,"2010,2015"
