location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
United States of America,Female,Prevalence,20-24 years,22.0,40-44 years,2004-2008,1959,584.2867653717665,428.98448175052386,795.8120601367995,0.8224884062214397,0.6302197725974065,1.0734147162355596,0.13584988919127336
United States of America,Female,Prevalence,25-29 years,27.0,40-44 years,2004-2008,1959,718.6796424268134,527.9580970811804,978.2981477018881,1.011670482228566,0.778171528410711,1.3152333736790205,0.1338832719211463
United States of America,Female,Prevalence,30-34 years,32.0,40-44 years,2004-2008,1959,745.2998460605479,547.6810036200707,1014.2251728037116,1.0491431928179784,0.8079780624898025,1.3622912429632876,0.1332623446061885
United States of America,Female,Prevalence,35-39 years,37.0,40-44 years,2004-2008,1959,732.7079301124493,545.0681981215673,984.9426414893005,1.0314178129305256,0.796864815704882,1.3350102600393567,0.1316350021057007
United States of America,Female,Prevalence,40-44 years,42.0,40-44 years,2004-2008,1959,710.3890595321755,528.803611365984,954.328989167473,0.8527284260835993,0.7007619637920753,1.0376501668500455,0.10013921378198029
United States of America,Female,Prevalence,45-49 years,47.0,40-44 years,2004-2008,1959,681.5435259571292,506.8582897828769,916.432831695531,0.9593947384352421,0.7390684503893435,1.245403269010248,0.13311839922140606
United States of America,Female,Prevalence,50-54 years,52.0,40-44 years,2004-2008,1959,653.1026290556193,484.80153648841946,879.8302232475512,0.9193590755546233,0.7057025001619527,1.197701736370043,0.134940310942425
United States of America,Female,Prevalence,55-59 years,57.0,40-44 years,2004-2008,1959,627.0265094373196,463.7682199487736,847.7558975053888,0.8826522607910742,0.6742242676293281,1.1555131591731889,0.13743291354263446
United States of America,Female,Prevalence,60-64 years,62.0,40-44 years,2004-2008,1959,600.8504615819561,442.39603422593314,816.0590268738144,0.8458047791130741,0.642321693343696,1.1137499041118708,0.14040781492965757
United States of America,Female,Prevalence,65-69 years,67.0,40-44 years,2004-2008,1959,561.7559008807233,406.6434647707936,776.0353221271743,0.7907721738432542,0.5966981989474883,1.0479680214014127,0.14367267712171855
China,Male,DALYs,15-19 years,17.0,40-44 years,2004-2008,1959,126.92843760278586,93.69597016278684,171.9479316377582,0.3630244149741152,0.2810936047971326,0.46883573165035214,0.13050120605306217
China,Male,DALYs,20-24 years,22.0,40-44 years,2004-2008,1959,252.83813027355222,186.5971512100325,342.5942984963893,0.7231351465378069,0.5607688533522054,0.9325133466887099,0.12973843615101655
China,Male,DALYs,25-29 years,27.0,40-44 years,2004-2008,1959,323.68191657346523,239.04697917747325,438.2819790368,0.9257534451775491,0.7220581673269205,1.1869119138016417,0.12678685789449848
China,Male,DALYs,30-34 years,32.0,40-44 years,2004-2008,1959,354.03458236781313,261.81973695011715,478.7281775332017,1.0125642414892508,0.7902918172786464,1.297351586750897,0.12644845874403193
China,Male,DALYs,35-39 years,37.0,40-44 years,2004-2008,1959,355.93377176831734,265.95060001767723,476.36233900882297,1.0179960590871378,0.7953674601388117,1.3029398715105591,0.12591178775246983
China,Male,DALYs,40-44 years,42.0,40-44 years,2004-2008,1959,349.64160085992086,260.66547055923616,468.98904097122096,0.8498569996988752,0.7029216971198716,1.0275069369696879,0.09684826427220533
China,Male,DALYs,45-49 years,47.0,40-44 years,2004-2008,1959,339.5049201520429,252.02565974090996,457.34863238108176,0.9710083677601652,0.754304572013423,1.2499688921990013,0.12884635603010947
