location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
United States of America,Female,Prevalence,1969,1969.0,1959,1.012565862224718,0.7748012744540803,1.3232936743235209
United States of America,Female,Prevalence,1970,1969.5,1959,0.9187761694239137,0.6591932883026388,1.2805798609917385
United States of America,Female,Prevalence,1974,1974.5,1959,0.9403572222655737,0.6988946808933317,1.265243146988533
United States of America,Female,Prevalence,1974,1974.5,1959,0.9403572222655825,0.6988946808933383,1.265243146988545
United States of America,Female,Prevalence,1979,1979.0,1959,0.9253247200432747,0.7051137233485999,1.2143088542610265
United States of America,Female,Prevalence,1984,1984.0,1959,0.9034940742627521,0.6837300963526365,1.1938944132816067
United States of America,Female,Prevalence,1989,1989.0,1959,0.8730977058165144,0.6549831346224911,1.1638461566516867
United States of America,Female,Prevalence,1994,1994.0,1959,0.8403494871339017,0.6236020252071695,1.1324325964008954
United States of America,Female,Prevalence,1999,1999.0,1959,0.8168313618322456,0.5981015372156209,1.1155521799506503
United States of America,Female,Prevalence,2004,2004.0,1959,0.814172962200551,0.5872261649362132,1.128828468415443
China,Male,DALYs,1924,1924.5,1959,0.9195764472913256,0.6557298464393886,1.289587239325242
China,Male,DALYs,1929,1929.0,1959,0.9217876997899472,0.6590493254441163,1.2892700601907998
China,Male,DALYs,1930,1929.5,1959,0.9252354866827397,0.6612927294422463,1.2945261118159772
China,Male,DALYs,1934,1934.5,1959,0.9419533572933422,0.6827067337071352,1.2996446109418616
China,Male,DALYs,1934,1934.5,1959,0.9419533572933289,0.6827067337071255,1.2996446109418431
China,Male,DALYs,1939,1939.0,1959,0.9497330051072853,0.6932971180461778,1.3010190833218445
China,Male,DALYs,1940,1939.5,1959,0.9300722353029857,0.6662285041273589,1.298404912912776
China,Male,DALYs,1944,1944.5,1959,0.9576678058750452,0.702898901521634,1.3047788585586453
China,Male,DALYs,1944,1944.5,1959,0.9576678058750532,0.7028989015216399,1.304778858558656
China,Male,DALYs,1949,1949.0,1959,0.9825833848386332,0.7371936363336796,1.3096560531403447
China,Male,DALYs,1950,1949.5,1959,0.9358467807945056,0.673105119403782,1.3011477284546684
China,Male,DALYs,1954,1954.5,1959,0.9709323922704315,0.7231037444684336,1.3036991131237823
China,Male,DALYs,1954,1954.5,1959,0.9709323922704283,0.7231037444684313,1.3036991131237778
China,Male,DALYs,1959,1959.0,1959,0.913810855570731,0.7457540753554522,1.119739478944044
China,Male,DALYs,1960,1959.5,1959,0.9326637670141243,0.671464332159866,1.2954697079782864
China,Male,DALYs,1964,1964.5,1959,0.9695013759792698,0.7244512757760865,1.2974411799037426
