location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Male,Prevalence,1995,2000,1995-2000,2153848.0950329867,2303583.0455549234,105463.79507901706,50795.56242213655,-6524.406979218825,149734.95052193478,70.43365273865543,33.92365125515267,-4.3573039938080855
China,Male,Prevalence,2000,2005,2000-2005,2303583.0455549234,2482828.4214329543,194172.68016157323,-19024.89836290758,4097.59407936153,179245.37587802717,108.32786018073,-10.613885167031386,2.2860249863013813
China,Male,Prevalence,2005,2010,2005-2010,2482828.4214329543,2680727.095420721,144141.1978763767,48911.07377913726,4846.402332260661,197898.67398777464,72.83585835713137,24.71521046278399,2.4489311800846383
China,Male,Prevalence,2010,2015,2010-2015,2680727.095420721,2831414.5859148293,74598.74118421313,74975.24186958108,1113.507440311291,150687.4904941055,49.5055966089841,49.7554519115931,0.7389514794228048
China,Male,Prevalence,2015,2020,2015-2020,2831414.5859148293,2908420.901734107,47202.76213923058,29250.182183312565,553.3714967328899,77006.31581927603,61.29726066886439,37.98413399228058,0.7186053388550389
China,Male,Prevalence,2020,2023,2020-2023,2908420.901734107,2920251.9442918487,38695.06340489249,-16846.876606857717,-10017.144240296057,11831.042557738721,327.06385101777806,-142.39553720342357,-84.66831381435453
United States of America,Male,Prevalence,1990,1995,1990-1995,606725.1570790269,643308.0133793529,34231.29717159413,3241.200394344535,-889.6412656128329,36582.85630032583,93.57196412049774,8.859888817144295,-2.4318529376420206
United States of America,Male,Prevalence,1995,2000,1995-2000,643308.0133793529,677162.8714192557,38704.075932867956,-3899.6462471961663,-949.5716457696205,33854.858039902174,114.32355110528118,-11.51871983217282,-2.804831273108373
United States of America,Male,Prevalence,2000,2005,2000-2005,677162.8714192557,716109.855084406,44914.827791924785,-7165.28454084477,1197.440414070695,38946.98366515071,115.32299440203897,-18.39753394627112,3.0745395442321515
United States of America,Male,Prevalence,2005,2010,2005-2010,716109.855084406,748952.3087437882,41829.6859656343,-7955.7108648681315,-1031.5214413841022,32842.45365938207,127.36467987276846,-24.223862648567465,-3.1408172242009957
United States of America,Male,Prevalence,2010,2015,2010-2015,748952.3087437882,769349.6637356485,39653.64067437309,-5914.7570660746815,-13341.528616438543,20397.354991859873,194.40579766444213,-28.997666944734398,-65.40813071970777
United States of America,Male,Prevalence,2015,2020,2015-2020,769349.6637356485,788085.4281700422,33577.85715940271,-8177.969410184576,-6664.123314824634,18735.764434393495,179.21797254113307,-43.64897647395784,-35.568996067175206
United States of America,Male,Prevalence,2020,2023,2020-2023,788085.4281700422,798906.0584382518,16812.609524663847,-6099.884908048592,107.90565159295997,10820.630268208217,155.3755105565384,-56.37273205767402,0.9972215011356081
