location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
China,Female,Incidence,2004,2005,2004-2005,128270.79202470629,130432.59832797146,2341.1241023023663,-192.37842690818312,13.060627868774947,2161.806303262958,108.29481340528761,-8.89896687866131,0.6041534733737095
China,Female,Incidence,2005,2006,2005-2006,130432.59832797146,132498.20044996706,2121.154061120166,-24.488625377072218,-31.063313746109394,2065.6021219969844,102.6893823612785,-1.1855441624642158,-1.5038381988142993
China,Female,Incidence,2006,2007,2006-2007,132498.20044996706,134393.08464926033,1898.0718998027587,45.65047245066671,-48.838172955438495,1894.884199297987,100.16822666556367,2.4091431269298256,-2.577369792493492
China,Female,Incidence,2007,2008,2007-2008,134393.08464926033,136081.28048170207,1693.5305772952706,55.383801008443704,-60.71854586814879,1688.1958324355655,100.31600272653255,3.2806502625078346,-3.596652989040374
China,Female,Incidence,2008,2009,2008-2009,136081.28048170207,137452.13498859757,1503.4215876854335,-62.43638893399718,-70.1306918514844,1370.854506899952,109.67039755993277,-4.554559847141673,-5.115837712791113
China,Female,Incidence,2009,2010,2009-2010,137452.13498859757,138483.317303633,1319.3600584836531,-214.7448467627837,-73.43289668447687,1031.1823150363925,127.94634268306766,-20.825109549634288,-7.121233133433371
China,Female,Incidence,2010,2011,2010-2011,138483.317303633,138999.80871876027,1124.4382386763464,-479.5829711792175,-128.36385237704962,516.4914151200792,217.70705296523187,-92.8540063086468,-24.853046656585047
China,Female,Incidence,2011,2012,2011-2012,138999.80871876027,139012.78066878294,930.5229287302645,-724.9181942056748,-192.63278449824426,12.97195002634544,7173.346542658697,-5588.351733805626,-1484.9948088530703
China,Female,Incidence,2012,2013,2012-2013,139012.78066878294,138613.2739970371,745.7123923452939,-935.9049152610047,-209.31414883031783,-399.5066717460286,-186.65830762880293,234.26515286232095,52.39315476648196
China,Female,Incidence,2013,2014,2013-2014,138613.2739970371,137809.86731496983,574.9180312992297,-1212.6944000793835,-165.63031329298488,-803.4066820731387,-71.56002608986162,150.9440271208729,20.615998968988734
China,Female,Incidence,2014,2015,2014-2015,137809.86731496983,136893.25973886228,427.93370680031273,-1274.8561467670029,-69.68513613067141,-916.6075760973617,-46.686686643189795,139.08418171655916,7.602504926630617
China,Female,Incidence,2015,2016,2015-2016,136893.25973886228,135921.74267250637,313.6624499149087,-1355.7889286586967,70.6094123791166,-971.5170663646713,-32.28584044216589,139.5537943282804,-7.267953886114488
China,Female,Incidence,2016,2017,2016-2017,135921.74267250637,134964.74153673777,234.55032148386334,-1348.0626785728139,156.51122132267724,-957.0011357662734,-24.508886428442768,140.8632266139806,-16.354340185537847
China,Female,Incidence,2017,2018,2017-2018,134964.74153673777,134032.7772697437,221.02313445266918,-1325.5273693157505,172.53996787381766,-931.9642669892637,-23.715837857892396,142.22941976068495,-18.51358190279256
China,Female,Incidence,2018,2019,2018-2019,134032.7772697437,133035.17912187683,277.3092739994948,-1488.5078940472838,213.60047217425506,-997.5981478735339,-27.797693348830222,149.20916776160485,-21.411474412774602
China,Female,Incidence,2019,2020,2019-2020,133035.17912187683,132123.269303477,371.7622612860723,-1382.1815828048566,98.5095031340461,-911.9098183847382,-40.767437063521605,151.56998586253943,-10.802548799017819
China,Female,Incidence,2020,2021,2020-2021,132123.269303477,131156.396739243,451.77636864746216,-1347.6189598721053,-71.02997301676321,-966.8725642414065,-46.725533990295716,139.3791705041736,7.346363486122108
China,Female,Incidence,2021,2022,2021-2022,131156.396739243,130343.46187987702,495.65428508240194,-1204.4326776474143,-104.15646680967136,-812.9348593746836,-60.970971950158884,148.1585718410297,12.812400109129213
China,Female,Incidence,2022,2023,2022-2023,130343.46187987702,129940.2080384887,538.6901388661499,-1093.7348813090648,151.79090105884825,-403.2538413840666,-133.58586666334847,271.22739303737245,-37.641526374023975
United States of America,Female,Incidence,1990,1991,1990-1991,31275.829779913412,31300.30513373661,267.5318809251906,-267.74753920430396,24.691012100286876,24.475353821173485,1093.0664491303505,-1093.9475733857507,100.88112425540025
United States of America,Female,Incidence,1991,1992,1991-1992,31300.30513373661,31329.99952736806,282.6943184224759,-265.7194524096054,12.719527620445055,29.694393633315485,952.0124300679719,-894.8472081662,42.834778098228085
United States of America,Female,Incidence,1992,1993,1992-1993,31329.99952736806,31355.515185346754,308.12255826874633,-281.1641438615273,-1.4427564295886746,25.515657977630326,1207.582256114573,-1101.9278597793752,-5.654396335197566
United States of America,Female,Incidence,1993,1994,1993-1994,31355.515185346754,31373.320483882566,299.720925298976,-271.37283342229966,-10.542793341421202,17.805298535255133,1683.3243469943386,-1524.1127964519756,-59.21155054236294
United States of America,Female,Incidence,1994,1995,1994-1995,31373.320483882566,31391.427982853333,324.8304445926763,-284.8832154057842,-21.83973021504486,18.107498971847235,1793.9001134154905,-1573.28859081372,-120.61152260177035
United States of America,Female,Incidence,1995,1996,1995-1996,31391.427982853333,31418.864987760746,323.97920358841594,-235.55047517725203,-60.991723505620634,27.43700490554329,1180.8111151482142,-858.5138064018864,-222.29730874632764
United States of America,Female,Incidence,1996,1997,1996-1997,31418.864987760746,31483.020657999754,325.9225828095138,-153.9628634756603,-107.8040490955294,64.15567023832409,508.0183584689922,-239.98325152511447,-168.03510694387768
United States of America,Female,Incidence,1997,1998,1997-1998,31483.020657999754,31596.246553197594,325.6785707852517,-92.71442534610894,-119.73825024050954,113.22589519863322,287.63611911737223,-81.88447102445883,-105.75164809291341
United States of America,Female,Incidence,1998,1999,1998-1999,31596.246553197594,31752.407789728542,327.71528208711004,-69.98132713097644,-101.57271842334437,156.1612365327892,209.85699739787833,-44.813507298453324,-65.04349009942499
United States of America,Female,Incidence,1999,2000,1999-2000,31752.407789728542,31959.566491476482,323.1140019652503,-66.99606494739419,-48.95923527126251,207.15870174659358,155.97413926666655,-32.34045414580121,-23.633685120865344
United States of America,Female,Incidence,2000,2001,2000-2001,31959.566491476482,32379.65583940685,367.04535054204337,34.29475408114437,18.749243307346354,420.08934793053413,87.37316295930881,8.16368095265661,4.463156088034569
United States of America,Female,Incidence,2001,2002,2001-2002,32379.65583940685,32827.97238832146,366.4078581686693,21.963412896049096,59.94527785217119,448.3165489168896,81.72971955951489,4.8990859135384595,13.371194526946637
United States of America,Female,Incidence,2002,2003,2002-2003,32827.97238832146,33263.33671643867,354.25244319191427,4.390947338494395,76.72093758384169,435.3643281142504,81.36919364210053,1.0085684689679264,17.622237888931547
United States of America,Female,Incidence,2003,2004,2003-2004,33263.33671643867,33729.90002169698,376.8613727229058,22.82461952032463,66.87731301622625,466.5633052594567,80.77389894889666,4.89207343634361,14.33402761475973
United States of America,Female,Incidence,2004,2005,2004-2005,33729.90002169698,34133.65937380946,417.5340364359896,-39.86947728625576,26.09479296190208,403.75935211163596,103.41160749647356,-9.874564410147011,6.462956913673444
United States of America,Female,Incidence,2005,2006,2005-2006,34133.65937380946,34512.449027246235,406.97248286670464,-14.202412518248217,-13.980416910785909,378.7896534376705,107.44023211121622,-3.749419338505034,-3.6908127727111677
United States of America,Female,Incidence,2006,2007,2006-2007,34512.449027246235,34825.10859232705,396.7902069411587,-46.86613021291365,-37.26451164888446,312.6595650793606,126.90806591522113,-14.989507901675065,-11.91855801354608
United States of America,Female,Incidence,2007,2008,2007-2008,34825.10859232705,35095.14874853458,392.90001312968525,-69.24938580653907,-53.6104711154876,270.0401562076586,145.4968841106537,-25.64410670585114,-19.852777404802566
United States of America,Female,Incidence,2008,2009,2008-2009,35095.14874853458,35342.77639927062,343.58940045415875,-36.84767503068724,-59.1140746883866,247.6276507350849,138.75243715078287,-14.880274848670812,-23.872162302112038
United States of America,Female,Incidence,2009,2010,2009-2010,35342.77639927062,35543.09823158608,358.8363787473997,-95.80190741183591,-62.712639017370144,200.32183231819363,179.12994035388996,-47.823997166550974,-31.305943187338976
United States of America,Female,Incidence,2010,2011,2010-2011,35543.09823158608,35607.11819292128,344.67775083237456,-95.33159493948308,-185.3261945596617,64.01996133322973,538.3910637469703,-148.90917294259745,-289.4818908043727
