sex_name,measure_name,metric_name,age_name,year,China,United States of America,china_us_pct_difference,china_us_absolute_difference
Male,Prevalence,Number,15-19 years,1993,50933.65716579005,12401.795875536987,310.69581919388486,38531.86129025306
Male,Prevalence,Number,20-24 years,1993,194203.771166652,50485.71024446026,284.6707716426784,143718.06092219174
Male,Prevalence,Number,25-29 years,1993,313485.31044885074,80437.20223719307,289.7267703623578,233048.10821165767
Male,Prevalence,Number,30-34 years,1993,268740.28787796723,98052.39354605557,174.07825363461313,170687.89433191167
Male,Prevalence,Number,35-39 years,1993,286043.89190211846,95362.87795787989,199.95308240221004,190681.01394423857
Male,Prevalence,Number,40-44 years,1993,245157.1786223858,80972.47809119552,202.76605632135497,164184.7005311903
Male,Prevalence,Number,45-49 years,1993,176533.8349399011,63061.66673432363,179.9384223122921,113472.16820557747
Male,Prevalence,Number,50-54 years,1993,147207.8106817135,44881.02181423478,227.9956755240899,102326.78886747872
Male,Prevalence,Number,55-59 years,1993,137012.24906520508,33183.33562122143,312.8947452093481,103828.91344398365
Male,Prevalence,Number,60-64 years,1993,111221.79022172872,27194.163201760493,308.9914052384905,84027.62701996823
Male,Prevalence,Number,65-69 years,1993,75589.68947514932,20945.473359297488,260.8879502434153,54644.216115851836
Male,Prevalence,Number,70+ years,1993,67394.72411584266,21993.312302351373,206.43280643378708,45401.411813491286
Male,Prevalence,Number,15-19 years,1994,48713.53265787881,12658.77367357916,284.82031446341097,36054.758984299646
Male,Prevalence,Number,20-24 years,1994,188783.14096745744,49639.36025835439,280.30937543294567,139143.78070910304
Male,Prevalence,Number,25-29 years,1994,317844.32993040833,79360.61899924719,300.50636441409733,238483.71093116113
Male,Prevalence,Number,30-34 years,1994,292810.7723050975,98110.08653441316,198.4512425258039,194700.68577068433
Male,Prevalence,Number,35-39 years,1994,274130.6591937475,96751.35740904872,183.33520741705817,177379.3017846988
Male,Prevalence,Number,40-44 years,1994,254045.382459266,82956.15626858028,206.24054185534382,171089.2261906857
Male,Prevalence,Number,45-49 years,1994,192493.1430137301,65764.72641025393,192.69967887179845,126728.41660347616
Male,Prevalence,Number,50-54 years,1994,148237.19147198822,46827.157266400754,216.56243967290925,101410.03420558746
Male,Prevalence,Number,55-59 years,1994,136904.9999393322,33834.93886233555,304.62611886594067,103070.06107699664
Male,Prevalence,Number,60-64 years,1994,114176.78723240408,26855.61617259508,325.1505029659913,87321.171059809
Male,Prevalence,Number,65-69 years,1994,77972.02161830486,20824.70134178738,274.4208396489423,57147.32027651748
Male,Prevalence,Number,70+ years,1994,69971.06666527546,22414.0959381991,212.1743873061043,47556.97072707636
Male,Prevalence,Number,15-19 years,1995,47231.561255684406,12989.545753653769,263.61210893305383,34242.01550203064
Male,Prevalence,Number,20-24 years,1995,181269.8442454037,48432.53832447175,274.27285563889717,132837.30592093198
Male,Prevalence,Number,25-29 years,1995,317610.01822988794,79178.92636457545,301.1294833267482,238431.09186531248
Male,Prevalence,Number,30-34 years,1995,318333.2860201601,96966.31059317855,228.2926658473427,221366.97542698157
Male,Prevalence,Number,35-39 years,1995,261706.6465334652,98275.8248239978,166.29809213217564,163430.8217094674
Male,Prevalence,Number,40-44 years,1995,269846.45240687893,84962.91068657138,217.60499990677565,184883.54172030755
