location_name,sex_name,measure_name,year,val,lower,upper,fitted,residual_log,model_knots
China,Female,Incidence,2010,18.45940755223,15.50395427964,21.88757712019,18.44995450161564,0.0005122305179514619,"2004,2015"
China,Female,Incidence,2011,18.447352143390003,15.47930988641,21.85781789795,18.439398397612187,0.000431252185916442,"2004,2015"
China,Female,Incidence,2012,18.42800950977,15.46631886039,21.8303172198,18.428848333262202,-4.551790583562365e-05,"2004,2015"
China,Female,Incidence,2013,18.40750198174,15.45017253198,21.785462161890003,18.418304305110123,-0.000586671400800487,"2004,2015"
China,Female,Incidence,2014,18.39232651687,15.43659469523,21.72763684878,18.407766309702332,-0.0008391171082666737,"2004,2015"
China,Female,Incidence,2015,18.38810121276,15.42373173404,21.68378890118,18.397234343587225,-0.0004965636918496941,"2004,2015"
China,Female,Incidence,2016,18.39604506144,15.444473524629998,21.75253898553,18.40299103652684,-0.0003775085385844257,"2004,2015"
China,Female,Incidence,2017,18.40968225841,15.45809525509,21.78482479806,18.408749530797728,5.0666341131044845e-05,"2004,2015"
China,Female,Incidence,2018,18.42456344649,15.4689067283,21.78456555625,18.414509826963556,0.000545812849384486,"2004,2015"
China,Female,Incidence,2019,18.43718645593,15.475567464930002,21.78318610846,18.42027192558815,0.0009178349388174745,"2004,2015"
China,Female,Incidence,2020,18.44443501912,15.47952262276,21.79304746107,18.426035827235513,0.0009980449389126456,"2004,2015"
China,Female,Incidence,2021,18.43823828659,15.480596926929998,21.79976783837,18.431801532469827,0.0003491590579862702,"2004,2015"
China,Female,Incidence,2022,18.42991677455,15.50316549332,21.77511347988,18.43756904185546,-0.0004151228241306981,"2004,2015"
China,Female,Incidence,2023,18.4221132549,15.40349009442,21.88439895793,18.44333835595696,-0.0011514902150802087,"2004,2015"
United States of America,Female,Incidence,1990,24.55491470791,20.8947144376,29.32199115684,24.539062813890475,0.0006457775625685613,"2010,2015"
United States of America,Female,Incidence,1991,24.57064849948,20.90288223507,29.32059232932,24.530198229953605,0.0016476407789962622,"2010,2015"
United States of America,Female,Incidence,1992,24.57674259107,20.90140105085,29.3146841803,24.5213368482926,0.0022569423052316573,"2010,2015"
United States of America,Female,Incidence,1993,24.5745057863,20.88507583531,29.30772379631,24.512478667750635,0.002527234143743673,"2010,2015"
United States of America,Female,Incidence,1994,24.56525129962,20.86398307708,29.30372404507,24.50362368717134,0.002511883342295018,"2010,2015"
United States of America,Female,Incidence,1995,24.5502205833,20.83993127656,29.30494983055,24.49477190539876,0.002261136100226935,"2010,2015"
United States of America,Female,Incidence,1996,24.51127474884,20.81270394345,29.25218370374,24.485923321277323,0.0010348114105895867,"2010,2015"
United States of America,Female,Incidence,1997,24.44335744325,20.75306484622,29.17722907249,24.47707793365192,-0.0013785852673877663,"2010,2015"
United States of America,Female,Incidence,1998,24.36761003934,20.68668527582,29.09757395539,24.46823574136781,-0.004120982971645759,"2010,2015"
United States of America,Female,Incidence,1999,24.30546284253,20.63501592923,29.03620801064,24.459396743270712,-0.0063133335496758924,"2010,2015"
United States of America,Female,Incidence,2000,24.27826772799,20.63372259419,29.01526120501,24.450560938206756,-0.0070715399042584615,"2010,2015"
United States of America,Female,Incidence,2001,24.301103005,20.65834329633,29.05933214958,24.441728325022456,-0.005770108397553653,"2010,2015"
United States of America,Female,Incidence,2002,24.35903530441,20.73413425538,29.16951362654,24.432898902564776,-0.0030276993843632027,"2010,2015"
United States of America,Female,Incidence,2003,24.428978171580003,20.82084540844,29.2891568478,24.424072669681095,0.00020082684012212582,"2010,2015"
United States of America,Female,Incidence,2004,24.487764940730003,20.89483464864,29.38952233289,24.415249625219182,0.0029656809218701063,"2010,2015"
United States of America,Female,Incidence,2005,24.51236718794,20.93400114552,29.44861673404,24.406429768027248,0.0043311607034945965,"2010,2015"
United States of America,Female,Incidence,2006,24.49787634634,20.89100434304,29.40244097269,24.39761309695392,0.00410113043379523,"2010,2015"
United States of America,Female,Incidence,2007,24.45957448828,20.82442083628,29.32687327822,24.388799610848213,0.0028977393111282446,"2010,2015"
United States of America,Female,Incidence,2008,24.40713108763,20.74379885443,29.227937806030003,24.3799893085596,0.0011126617701617825,"2010,2015"
United States of America,Female,Incidence,2009,24.34940652377,20.65920460128,29.11341784009,24.371182188937922,-0.0008938999791783253,"2010,2015"
United States of America,Female,Incidence,2010,24.29526361694,20.58046688874,28.99496309165,24.362378250833476,-0.002758648955431209,"2010,2015"
United States of America,Female,Incidence,2011,24.15137303936,20.4843881696,28.73277412637,24.092193100096924,0.0024533828521757783,"2010,2015"
United States of America,Female,Incidence,2012,23.87530057106,20.29241881247,28.30521609131,23.825004373392815,0.0021088425478872352,"2010,2015"
United States of America,Female,Incidence,2013,23.55289862653,20.06532810031,27.81914893969,23.560778839594438,-0.00033451912742732404,"2010,2015"
United States of America,Female,Incidence,2014,23.26990842344,19.86759055135,27.39874754097,23.299483636116978,-0.0012701568710751232,"2010,2015"
United States of America,Female,Incidence,2015,23.11180606192,19.76687810005,27.176168036790003,23.041086264830252,0.003064590272583878,"2010,2015"
United States of America,Female,Incidence,2016,23.04879355567,19.74428117195,27.12941195513,23.02302714861735,0.0011185322978413126,"2010,2015"
United States of America,Female,Incidence,2017,22.994702339,19.72788868034,27.09191603882,23.004982186757864,-0.00044695297522023836,"2010,2015"
United States of America,Female,Incidence,2018,22.95014004778,19.71389458445,27.058564697700003,22.986951368157936,-0.0016026843286214287,"2010,2015"
United States of America,Female,Incidence,2019,22.91579227656,19.68007064559,27.03428048405,22.968934681732367,-0.0023163450000156516,"2010,2015"
United States of America,Female,Incidence,2020,22.89220103631,19.62901810274,27.02907444101,22.95093211640466,-0.0025622643212792617,"2010,2015"
United States of America,Female,Incidence,2021,22.88202141896,19.6421482191,27.03694976899,22.932943661106993,-0.0022229532654862716,"2010,2015"
United States of America,Female,Incidence,2022,22.88766539089,19.59569713865,27.08053516496,22.91496930478022,-0.001192242206409233,"2010,2015"
United States of America,Female,Incidence,2023,23.03579326505,19.64945729368,27.07250696422,22.897009036373877,0.006042942910338134,"2010,2015"
China,Female,Prevalence,1990,276.90029239308,233.24618241484004,329.6091622691,276.9819889750651,-0.0002949961944107571,"2007,2018"
China,Female,Prevalence,1991,276.94916923532,233.46729211739,330.09729021043,277.05778837813625,-0.00039212194978865966,"2007,2018"
China,Female,Prevalence,1992,277.01559798184,233.65552394615,329.51263565956003,277.1336085246121,-0.0004259161365585129,"2007,2018"
China,Female,Prevalence,1993,277.09881737032003,233.58643631562,328.98285187292,277.2094494201694,-0.0003991715727389433,"2007,2018"
China,Female,Prevalence,1994,277.19277521666,233.40434683725,329.14774206017,277.2853110704866,-0.00033377641776777267,"2007,2018"
China,Female,Prevalence,1995,277.27207979671005,233.22109644355,329.19303064653,277.361193481243,-0.0003213427307491301,"2007,2018"
China,Female,Prevalence,1996,277.39045849985,233.41645397566003,329.56138352625,277.4370966581202,-0.00016811767168523062,"2007,2018"
China,Female,Prevalence,1997,277.58313115753003,233.42217485142,330.14845214175,277.5130206068011,0.0002526068713644136,"2007,2018"
China,Female,Prevalence,1998,277.81095142946,233.88122450393,330.54143554976,277.5889653329701,0.0007993739343881145,"2007,2018"
China,Female,Prevalence,1999,278.01621770125,233.90308271362,329.58616053006,277.6649308423132,0.0012643470330209183,"2007,2018"
China,Female,Prevalence,2000,278.1289174789,233.74044331328,329.63262415599,277.74091714051804,0.0013960117179605547,"2007,2018"
China,Female,Prevalence,2001,278.11702585665,234.3130829444,329.10397433648,277.8169242332737,0.0010796306017208934,"2007,2018"
China,Female,Prevalence,2002,278.03093998887005,234.77111980687,329.70935745056,277.8929521262711,0.0004964271814538179,"2007,2018"
China,Female,Prevalence,2003,277.93577421439,234.83587842707,330.77165616243,277.969000825202,-0.00011954065639852018,"2007,2018"
China,Female,Prevalence,2004,277.86868085887,234.60950936901,331.25784929554,278.0450703357604,-0.0006345929829247865,"2007,2018"
China,Female,Prevalence,2005,277.85468733323,234.2997499917,331.34778764426,278.12116066364166,-0.0009585788727202171,"2007,2018"
China,Female,Prevalence,2006,277.93100277389,234.35015370846,331.45604015946,278.1972718145427,-0.0009575814543731909,"2007,2018"
China,Female,Prevalence,2007,278.09137296797,234.48714046736,330.83219404199,278.27340379416194,-0.0006543578612090428,"2007,2018"
China,Female,Prevalence,2008,278.30636811519,234.6056367536,330.28606101937004,278.3789741559247,-0.00026085127677433206,"2007,2018"
China,Female,Prevalence,2009,278.51882753679,234.62944496074,330.03634036934,278.4845845685911,0.00012295424946362488,"2007,2018"
China,Female,Prevalence,2010,278.65902168162,234.59992144108,330.50003092093,278.59023504735603,0.0002468792332432912,"2007,2018"
China,Female,Prevalence,2011,278.74801831264,234.58602663038,330.95765390498,278.6959256074186,0.00018689845298780483,"2007,2018"
China,Female,Prevalence,2012,278.84764858283,234.5582779939,331.16995652058,278.80165626398525,0.00016495069051192246,"2007,2018"
China,Female,Prevalence,2013,278.95820420687,234.461982222,331.52783480695,278.90742703226755,0.00018204087830220317,"2007,2018"
China,Female,Prevalence,2014,279.0636870608,234.34758592671,331.65084061279003,279.01323792748303,0.00018079634256729094,"2007,2018"
China,Female,Prevalence,2015,279.13834944969,234.35781691034,331.71102510939,279.1190889648551,6.900216107208479e-05,"2007,2018"
China,Female,Prevalence,2016,279.1934174338,234.14089215665,331.77013689505003,279.2249801596123,-0.00011304328790728846,"2007,2018"
China,Female,Prevalence,2017,279.24803417755,233.99603965028,331.82185865163,279.3309115269896,-0.00029674355141739994,"2007,2018"
China,Female,Prevalence,2018,279.29943369808,233.96778227654,331.44245812017,279.4368830822278,-0.0004920009055879859,"2007,2018"
China,Female,Prevalence,2019,279.3416516949,233.95111433574,331.15420083302,279.36792046477365,-9.403372056571158e-05,"2007,2018"
China,Female,Prevalence,2020,279.36627567966,233.90244415421,330.97159967637003,279.2989748667002,0.0002409343098381811,"2007,2018"
China,Female,Prevalence,2021,279.36637841349,233.61442401003,331.56701658528,279.2300462838068,0.00048812389898156283,"2007,2018"
China,Female,Prevalence,2022,279.32341776059,233.86366799534,331.19102201912,279.1611347118942,0.0005811550294270162,"2007,2018"
China,Female,Prevalence,2023,278.85919351501,234.44465743948,331.61728314358,279.0922401467643,-0.000835365342740424,"2007,2018"
United States of America,Female,Prevalence,1990,435.1880400926101,361.33163503976,517.16221686159,434.03372145634836,0.0026559834691104456,"2010,2015"
United States of America,Female,Prevalence,1991,434.82937908548,361.11546516825,516.60800862894,433.9216679045331,0.0020896930470684083,"2010,2015"
United States of America,Female,Prevalence,1992,434.4399680863,361.14562351296,516.11311198387,433.80964328134246,0.0014519440203359935,"2010,2015"
United States of America,Female,Prevalence,1993,434.0549666716301,361.14799363755,515.69756089678,433.6976475793074,0.0008235506448501795,"2010,2015"
United States of America,Female,Prevalence,1994,433.70851926144,361.15821234806,515.38175449993,433.58568079096204,0.00028326828725955266,"2010,2015"
United States of America,Female,Prevalence,1995,433.43600175232,361.21486676824,515.1877547232899,433.4737429088411,-8.707055556200771e-05,"2010,2015"
United States of America,Female,Prevalence,1996,433.02990107428,360.82140334767,514.98976818078,433.3618339254827,-0.0007662419989342695,"2010,2015"
United States of America,Female,Prevalence,1997,432.38648839527,360.26650282688,514.50990358538,433.2499538334253,-0.001994984689674517,"2010,2015"
United States of America,Female,Prevalence,1998,431.6960983313001,359.4417155503,513.9743317191701,433.1381026252109,-0.0033347562541932163,"2010,2015"
United States of America,Female,Prevalence,1999,431.14897880118,358.67912921485,513.61050942745,433.0262802933818,-0.004344730829878962,"2010,2015"
United States of America,Female,Prevalence,2000,430.93607870005,358.66450919842,513.6519197588,432.91448683048384,-0.0045804486756768625,"2010,2015"
United States of America,Female,Prevalence,2001,431.29856351893,359.03171236237,514.13944280948,432.80272222906325,-0.0034814442570541004,"2010,2015"
United States of America,Female,Prevalence,2002,432.1325354853,359.74187352542003,515.3794018388601,432.6909864816697,-0.0012914798448599996,"2010,2015"
United States of America,Female,Prevalence,2003,433.11544444097,360.34442158768,515.8918292303699,432.5792795808532,0.0012386928412402298,"2010,2015"
